Time,sonic_temperature,PSPWatt_UP_Avg,co2_flux
,[K],W/m2,[繕mol+1s-1m-2]
2022/9/4 15:53,300.117,34.69933333,-3.2622
2022/9/4 16:23,300.53,57.35833333,0.858791
2022/9/4 16:53,300.396,38.013,4.67573
2022/9/4 17:23,300.206,22.2734,0.301806
2022/9/4 17:53,303.159,4.748066667,-1.45997
2022/9/4 18:23,303.404,2.7709,8.34562
2022/9/4 18:53,303.323,0,-14.1021
2022/9/4 19:23,302.887,0,5.39359
2022/9/4 19:53,302.883,0,6.00888
2022/9/4 20:23,302.52,0,6.81561
2022/9/4 20:53,302.126,0,6.09968
2022/9/4 21:23,301.25,0,7.4283
2022/9/4 21:53,301.006,0,15.1591
2022/9/4 22:23,299.572,0,2.97459
2022/9/4 22:53,300.1,0,17.3948
2022/9/4 23:23,298.074,0.000233333,17.0067
2022/9/4 23:53,296.711,0.000466667,11.8813
2022/9/5 00:23,296.146,0,2.25388
2022/9/5 00:53,295.996,0,4.07414
2022/9/5 01:23,300.262,0,7.4603
2022/9/5 01:53,299.937,0,-6.79275
2022/9/5 02:23,299.835,0,-8.72483
2022/9/5 02:53,299.521,0,2.78323
2022/9/5 03:23,299.407,0,-0.445369
2022/9/5 03:53,299.183,0,1.99355
2022/9/5 04:23,299.141,0,-5.73106
2022/9/5 04:53,299.038,0,13.9709
2022/9/5 05:23,298.911,0,-25.9438
2022/9/5 05:53,298.836,1.557266667,8.26203
2022/9/5 06:23,298.453,11.97933333,44.5491
2022/9/5 06:53,298.462,27.42533333,-3.0684
2022/9/5 07:23,299.246,78.32033333,5.94542
2022/9/5 07:53,300.075,142.29,-8.31159
2022/9/5 08:23,301.752,327.1033333,-6.32674
2022/9/5 08:53,302.691,422.73,-9.19867
2022/9/5 09:23,303.449,531.3666667,-13.1458
2022/9/5 09:53,302.896,440.9266667,-12.1472
2022/9/5 10:23,304.466,711.08,-5.69904
2022/9/5 10:53,305.312,775.03,-4.47271
2022/9/5 11:23,306.684,859.0833333,-0.715217
2022/9/5 11:53,305.986,618.4033333,-4.52266
2022/9/5 12:23,303.636,264.5866667,-1.76436
2022/9/5 12:53,302.579,92.318,-4.49896
2022/9/5 13:23,303.237,112.7323333,-0.714184
2022/9/5 13:53,302.949,74.09066667,-114.296
2022/9/5 14:23,301.137,156.9633333,2.81657
